scenario,time_days,temperature_change_c,completed_cycles,mechanical_mm,thermal_recoverable_mm,hydraulic_transient_mm,cyclic_residual_mm,total_settlement_mm,allowable_settlement_mm,u_upper_silty_clay_kpa,u_sandy_silt_kpa,u_dense_sand_kpa
Bridge-abutment retrofit,2514.3729281767955,-5.328923508914633,6.0,11.666666666666666,-0.6162528221221708,-5.1192327592077245,0.3644679338750654,6.295649019211837,15.0,-49.74123347352974,-15.742776514953675,3.6814963073264217
Bridge-abutment retrofit,2516.3908839779006,-5.118625119868883,6.0,11.666666666666666,-0.5919332807513124,-5.157227717154422,0.3644679338750654,6.281973602635997,15.0,-47.533632582828254,-14.33737245065675,3.973627394271009
Bridge-abutment retrofit,2518.4088397790056,-4.90215918623013,6.0,11.666666666666666,-0.5669005058812971,-5.188898308139336,0.3644679338750654,6.275335786521099,15.0,-45.26916591852676,-12.914692971372807,4.260970569701037
Bridge-abutment retrofit,2520.4267955801106,-4.67978653258844,6.0,11.666666666666666,-0.5411846600561055,-5.2142066085883325,0.3644679338750654,6.275743331897294,15.0,-42.95056110874335,-11.476452295038442,4.5431796074705275
Bridge-abutment retrofit,2522.444751381215,-4.451775100671469,6.0,11.666666666666666,-0.514816728867022,-5.2331223604825094,0.3644679338750654,6.283195511192201,15.0,-40.58061101573137,-10.024383389621336,4.819914467669446
Bridge-abutment retrofit,2524.46270718232,-4.218399626495364,6.0,11.666666666666666,-0.4878284836173887,-5.245623007817822,0.3644679338750654,6.297683109106521,15.0,-38.162170370692095,-8.560235885027591,5.0908417063455165
Bridge-abutment retrofit,2526.480662983425,-3.979941309329543,6.0,11.666666666666666,-0.4602524430406924,-5.251693723784442,0.3644679338750654,6.319188433716597,15.0,-35.6981523340446,-7.085773964935804,5.3556348772779
Bridge-abutment retrofit,2528.49861878453,-3.7366874728732897,6.0,11.666666666666666,-0.43212183411800154,-5.251327428632967,0.3644679338750654,6.347685337790763,15.0,-33.19152498528854,-5.6027742410918995,5.613974925319683
Bridge-abutment retrofit,2530.516574585635,-3.488931219053124,6.0,11.666666666666666,-0.40347055204204785,-5.244524798206072,0.3644679338750654,6.3831392502936115,15.0,-30.645307746695963,-4.113023612630681,5.865550570834405
Bridge-abutment retrofit,2532.5345303867402,-3.236971074857807,6.0,11.666666666666666,-0.3743331193761588,-5.231294263125249,0.3644679338750654,6.425507218040324,15.0,-28.062567745138615,-2.6183171130015306,6.1100586847638
Bridge-abutment retrofit,2534.5524861878453,-2.9811106326365713,6.0,11.666666666666666,-0.3447446444572577,-5.2116519986336485,0.3644679338750654,6.4747379574508255,15.0,-25.44641611643495,-1.120455747092901,6.347204653874686
Bridge-abutment retrofit,2536.5704419889503,-2.7216581842939873,6.0,11.666666666666666,-0.3147407790930522,-5.1856219051072605,0.3644679338750654,6.530771916341419,15.0,-22.800004256669776,0.3787556788382822,6.576702735744966
Bridge-abutment retrofit,2538.5883977900553,-2.4589263498222285,6.0,11.666666666666666,-0.2843576756043828,-5.153235579257888,0.3644679338750654,6.59354134567946,15.0,-20.126520025003437,1.8775107318176238,6.798276403061002
Bridge-abutment retrofit,2540.6063535911603,-2.1932317006183326,6.0,11.666666666666666,-0.25363194326449234,-5.114532276062663,0.3644679338750654,6.662970381214576,15.0,-17.429183902545844,3.3740035287642587,7.011658676811473
Bridge-abutment retrofit,2542.624309392265,-1.9248943780403782,6.0,11.666666666666666,-0.22260060418770905,-5.069558861465937,0.3644679338750654,6.7389751348880855,15.0,-14.711245111924098,4.866430912439041,7.2165924479762715
